date,quarter,cpi_nowcast,pce_nowcast
2013-08-20,2013:Q3,2.7632677235,2.1928578208
2013-08-21,2013:Q3,2.9002863244,2.2771066938
2013-08-22,2013:Q3,2.8862156114,2.2690062248
2013-08-23,2013:Q3,2.8818470749,2.2664911998
2013-08-26,2013:Q3,2.9576210043,2.3101104906
2013-08-27,2013:Q3,2.9151837709,2.2856864497
2013-08-28,2013:Q3,3.0817197534,2.3815340538
2013-08-29,2013:Q3,3.1201411566,2.4036400509
2013-08-30,2013:Q3,3.1297184911,2.2652841915
2013-09-03,2013:Q3,3.0189575407,2.2017638536
2013-09-04,2013:Q3,2.9080658521,2.1381468904
2013-09-05,2013:Q3,2.9080658521,2.1381468904
2013-09-06,2013:Q3,2.9080658521,2.1381468904
2013-09-09,2013:Q3,2.9080658521,2.1381468904
2013-09-10,2013:Q3,2.8881487638,2.1267184468
2013-09-11,2013:Q3,2.8881487638,2.1267184468
2013-09-12,2013:Q3,2.8881487638,2.1267184468
2013-09-13,2013:Q3,2.8881487638,2.1267184468
2013-09-16,2013:Q3,2.8881487638,2.1267184468
2013-09-17,2013:Q3,2.7550203443,2.0878499659
2013-09-18,2013:Q3,2.7550203443,2.0878499659
2013-09-19,2013:Q3,2.7550203443,2.0878499659
2013-09-20,2013:Q3,2.7550203443,2.0878499659
2013-09-23,2013:Q3,2.7550203443,2.0878499659
2013-09-24,2013:Q3,2.7125823535,2.0636750539
2013-09-25,2013:Q3,2.7125823535,2.0636750539
2013-09-26,2013:Q3,2.7125823535,2.0636750539
2013-09-27,2013:Q3,2.7125823535,2.092400511
2013-09-30,2013:Q3,2.7125823535,2.092400511
2013-10-01,2013:Q3,2.6598706298,2.0623141679
2013-10-02,2013:Q3,2.6598706298,2.0623141679
2013-10-03,2013:Q3,2.6598706298,2.0623141679
2013-10-04,2013:Q3,2.6598706298,2.0623141679
2013-10-07,2013:Q3,2.6598706298,2.0623141679
2013-10-08,2013:Q3,2.6598706298,2.0623141679
2013-10-09,2013:Q3,2.6598706298,2.0623141679
2013-10-10,2013:Q3,2.6598706298,2.0623141679
2013-10-11,2013:Q3,2.6598706298,2.0623141679
2013-10-15,2013:Q3,2.6598706298,2.0623141679
2013-10-16,2013:Q3,2.6598706298,2.0623141679
2013-10-17,2013:Q3,2.6598706298,2.0623141679
2013-10-18,2013:Q3,2.6598706298,2.0623141679
2013-10-21,2013:Q3,2.6598706298,2.0623141679
2013-10-22,2013:Q3,2.6598706298,2.0623141679
2013-10-23,2013:Q3,2.6598706298,2.0623141679
2013-10-24,2013:Q3,2.6598706298,2.0623141679
2013-10-25,2013:Q3,2.6598706298,2.0623141679
2013-10-28,2013:Q3,2.6598706298,2.0623141679
2013-10-29,2013:Q3,2.6598706298,2.0623141679
2013-10-30,2013:Q3,,2.0626767189
2013-10-31,2013:Q3,,2.0626767189
2013-11-01,2013:Q3,,2.0626767189
2013-11-04,2013:Q3,,2.0626767189
2013-11-05,2013:Q3,,2.0626767189
2013-11-06,2013:Q3,,2.0626767189
2013-11-07,2013:Q3,,
2013-10-01,2013:Q4,1.7493602179,1.3840755159
2013-10-02,2013:Q4,1.87968396,1.4646552327
2013-10-03,2013:Q4,2.1283709043,1.6067817681
2013-10-04,2013:Q4,2.1254050302,1.6050863567
2013-10-07,2013:Q4,2.2019086524,1.6487835104
2013-10-08,2013:Q4,1.646897817,1.3316097148
2013-10-09,2013:Q4,1.7058046872,1.3653318353
2013-10-10,2013:Q4,1.5553786182,1.2792053218
2013-10-11,2013:Q4,1.8005325419,1.4195466397
2013-10-15,2013:Q4,1.7100642831,1.3677700537
2013-10-16,2013:Q4,1.6714614887,1.3456723441
2013-10-17,2013:Q4,1.5841192648,1.2956640589
2013-10-18,2013:Q4,1.5162427436,1.2568067386
2013-10-21,2013:Q4,1.5497588359,1.2760031219
2013-10-22,2013:Q4,1.5164953742,1.2569519344
2013-10-23,2013:Q4,1.5643973039,1.2843871834
2013-10-24,2013:Q4,1.2655828794,1.1131746428
2013-10-25,2013:Q4,1.189237288,1.0694038339
2013-10-28,2013:Q4,1.1626964178,1.0541847332
2013-10-29,2013:Q4,1.4445575977,1.2157908385
2013-10-30,2013:Q4,1.2668901085,1.1521445738
2013-10-31,2013:Q4,1.3493749761,1.1996220109
2013-11-01,2013:Q4,1.2269161617,1.129131393
2013-11-04,2013:Q4,1.1618810455,1.0926619177
2013-11-05,2013:Q4,1.0447217019,1.0252100516
2013-11-06,2013:Q4,1.0245700596,1.0135995384
2013-11-07,2013:Q4,1.0679393003,1.0385861251
2013-11-08,2013:Q4,0.9274069181,0.743488968
2013-11-12,2013:Q4,1.1002121887,0.8425962836
2013-11-13,2013:Q4,0.9521005472,0.7576980511
2013-11-14,2013:Q4,1.0101268183,0.7909883283
2013-11-15,2013:Q4,1.0741856088,0.8277324447
2013-11-18,2013:Q4,1.0817158232,0.8320512873
2013-11-19,2013:Q4,1.0678224636,0.8240909405
2013-11-20,2013:Q4,0.8835300779,0.7317061903
2013-11-21,2013:Q4,0.9479514256,0.768651849
2013-11-22,2013:Q4,1.0538395276,0.8293623574
2013-11-25,2013:Q4,1.1104537622,0.8618135675
2013-11-26,2013:Q4,1.1016099361,0.8567013851
2013-11-27,2013:Q4,1.1400926583,0.878754494
2013-11-30,2013:Q4,1.103666049,0.8578797395
2013-12-03,2013:Q4,1.0433853541,0.8233298097
2013-12-04,2013:Q4,0.8140332611,0.6918162849
2013-12-05,2013:Q4,0.8140332611,0.6918162849
2013-12-06,2013:Q4,0.8140332611,0.6535261657
2013-12-09,2013:Q4,0.8140332611,0.6535261657
2013-12-10,2013:Q4,0.81081807,0.6516817105
2013-12-11,2013:Q4,0.81081807,0.6516817105
2013-12-12,2013:Q4,0.81081807,0.6516817105
2013-12-13,2013:Q4,0.81081807,0.6516817105
2013-12-16,2013:Q4,0.81081807,0.6516817105
2013-12-17,2013:Q4,0.7828237232,0.6651373403
2013-12-18,2013:Q4,0.7828237232,0.6651373403
2013-12-19,2013:Q4,0.7828237232,0.6651373403
2013-12-20,2013:Q4,0.7828237232,0.6651373403
2013-12-23,2013:Q4,0.7828237232,0.6008296488
2013-12-24,2013:Q4,0.7880628918,0.6038429329
2013-12-26,2013:Q4,0.7880628918,0.6038429329
2013-12-27,2013:Q4,0.7880628918,0.6038429329
2013-12-30,2013:Q4,0.7880628918,0.6038429329
2013-12-31,2013:Q4,0.8163579319,0.6201158366
2014-01-02,2013:Q4,0.8163579319,0.6201158366
2014-01-03,2013:Q4,0.8163579319,0.6201158366
2014-01-06,2013:Q4,0.8163579319,0.6201158366
2014-01-07,2013:Q4,0.8163579319,0.6201158366
2014-01-08,2013:Q4,0.8163579319,0.6201158366
2014-01-09,2013:Q4,0.8163579319,0.6201158366
2014-01-10,2013:Q4,0.8163579319,0.6201158366
2014-01-13,2013:Q4,0.8163579319,0.6201158366
2014-01-14,2013:Q4,0.8163579319,0.6201158366
2014-01-15,2013:Q4,0.8163579319,0.6201158366
2014-01-16,2013:Q4,,0.6708066471
2014-01-17,2013:Q4,,0.6708066471
2014-01-21,2013:Q4,,0.6708066471
2014-01-22,2013:Q4,,0.6708066471
2014-01-23,2013:Q4,,0.6708066471
2014-01-24,2013:Q4,,0.6708066471
2014-01-27,2013:Q4,,0.6708066471
2014-01-28,2013:Q4,,0.6708066471
2014-01-29,2013:Q4,,0.6708066471
2014-01-30,2013:Q4,,
2014-01-02,2014:Q1,1.4734288977,1.0108151771
2014-01-03,2014:Q1,1.0041532608,0.7495942048
2014-01-06,2014:Q1,0.9346324304,0.7096292481
2014-01-07,2014:Q1,1.2051581544,0.8650002275
2014-01-08,2014:Q1,1.3039953257,0.921735828
2014-01-09,2014:Q1,1.2978945498,0.9182343229
2014-01-10,2014:Q1,1.2926545201,0.9152267825
2014-01-13,2014:Q1,1.3076720325,0.9238460191
2014-01-14,2014:Q1,1.2903934536,0.9139298844
2014-01-15,2014:Q1,1.2487718584,0.8900385948
2014-01-16,2014:Q1,1.4356907768,1.0692352827
2014-01-17,2014:Q1,1.345426777,1.0170807822
2014-01-21,2014:Q1,1.436582314,1.0697503368
2014-01-22,2014:Q1,1.4610976389,1.0839237506
2014-01-23,2014:Q1,1.5697060112,1.1466565853
2014-01-24,2014:Q1,1.4702869071,1.0892323766
2014-01-27,2014:Q1,1.5145826854,1.1148197725
2014-01-28,2014:Q1,1.3429561883,1.015665338
2014-01-29,2014:Q1,1.4189780693,1.0595966166
2014-01-30,2014:Q1,1.3662252772,1.0291131487
